category_code,normalized_name,logo_width,logo_height,country_code,city,investment_rounds,invested_companies,milestones,relationships,funding_total_usd,acquired_at,logo_ratio,name_length
enterprise,pringo,200,101,USA,Los Angeles,0,0,3,5,0,2011-12-06,1.9801980198019802,6
NA,logical information machines,475,71,NA,NA,0,0,0,0,0,2009-12-31,6.690140845070423,28
news,digg,280,280,USA,San Francisco,0,0,8,57,45000000,2012-07-12,1,4
NA,healthcare automation,338,76,NA,NA,0,0,0,0,0,2009-11-24,4.447368421052632,21
security,broadview security,100,60,USA,Irving,0,0,0,0,0,2010-01-18,1.6666666666666667,18
advertising,admarvel,190,40,USA,San Mateo,0,0,2,2,0,2010-01-20,4.75,8
NA,enzon pharmaceuticals,124,44,NA,NA,0,0,1,2,0,2009-11-09,2.8181818181818183,21
NA,global physics solutions,289,140,NA,NA,0,0,0,0,0,2009-11-09,2.0642857142857145,24
other,escreen,219,40,USA,Overland Park,0,0,0,1,0,2012-03-06,5.475,7
NA,carlson marketing,150,72,NA,NA,0,0,1,7,0,2009-11-03,2.0833333333333335,17
NA,healthhonors,469,68,NA,NA,0,0,0,0,0,2009-10-14,6.897058823529412,12
software,pgp,121,57,USA,Menlo Park,0,0,2,12,51050012,2010-04-29,2.1228070175438596,3
NA,cerent,0,0,NA,NA,0,0,1,4,0,1999-08-26,NaN,6
network_hosting,switch and data,160,85,USA,Tampa,0,0,1,3,0,2009-10-21,1.8823529411764706,15
hardware,iomega,225,100,USA,San Diego,0,0,2,13,0,2008-04-08,2.25,6
NA,the fizzback group,161,137,GBR,London,0,0,1,4,5000000,2011-09-19,1.1751824817518248,18
software,kasenna,85,75,USA,Sunnyvale,0,0,0,6,11000000,2008-07-10,1.1333333333333333,7
biotech,gemin x pharmaceuticals,263,72,CAN,Montreal,0,0,0,6,62000000,2011-03-21,3.6527777777777777,23
security,messagelabs,230,71,GBR,Gloucester,0,0,1,15,0,2008-10-09,3.23943661971831,11
semiconductor,energy micro,367,99,NOR,Oslo,0,0,1,0,13000000,2013-06-07,3.707070707070707,12
other,geoservices,225,88,FRA,Roissy-en-France,0,0,0,2,0,2010-03-24,2.5568181818181817,11
hardware,bell microproducts,250,40,USA,Hoffman Estates,0,0,2,3,0,2010-03-29,6.25,18
other,yarnable,90,90,NA,NA,0,0,1,1,0,2011-03-22,1,8
software,olaworks,212,60,KOR,Seoul,0,0,0,0,4000000,2012-04-17,3.533333333333333,8
advertising,blinq media,832,830,USA,New York,0,0,3,8,6600000,2012-08-10,1.002409638554217,11
software,sintecmedia,0,0,USA,New York,0,0,1,14,10001589,2011-03-31,NaN,11
biotech,molecular devices,229,77,USA,Sunnyvale,0,0,1,11,0,2007-03-19,2.9740259740259742,17
biotech,solstice neurosciences,162,61,USA,South San Francisco,0,0,0,0,93000000,2010-08-13,2.6557377049180326,22
biotech,amplimmune,262,74,USA,Rockville,0,0,0,5,20000000,2013-08-26,3.5405405405405403,10
network_hosting,abovenet,191,94,USA,White Plains,0,0,2,8,0,2012-07-02,2.0319148936170213,8
travel,off away,172,63,USA,Seattle,0,0,3,3,3250000,2011-12-01,2.7301587301587302,8
software,indisys,212,63,ESP,Sevilla,0,0,3,1,6447280,2013-09-13,3.365079365079365,7
consulting,razorfish,1151,199,USA,Chicago,0,0,2,43,0,2002-11-22,5.78391959798995,9
consulting,razorfish,1151,199,USA,Chicago,0,0,2,43,0,2004-06-28,5.78391959798995,9
software,prairiefyre software,172,83,CAN,"Kanata, ON",0,0,1,2,0,2013-06-17,2.072289156626506,20
software,siebel systems,200,60,USA,Redwood Shores,0,0,2,118,0,2006-01-31,3.3333333333333335,14
software,ariba,274,62,USA,Sunnyvale,0,0,2,44,0,2012-05-22,4.419354838709677,5
software,fusepoint managed services,195,57,CAN,"Vancouver, BC",0,0,0,1,9000000,2010-05-28,3.4210526315789473,26
ecommerce,quidsi,1428,844,USA,Jersey City,0,0,3,27,78500000,2010-11-08,1.6919431279620853,6
NA,red swoosh,168,57,NA,NA,0,0,2,4,1730000,2007-04-12,2.9473684210526314,10
enterprise,cloupia,432,170,USA,Santa Clara,0,0,1,1,3532577,2012-11-15,2.541176470588235,7
network_hosting,myspace,898,188,USA,Beverly Hills,0,0,6,181,0,2011-06-29,4.776595744680851,7
enterprise,opsware,165,59,USA,Sunnyvale,0,0,3,20,186000000,2007-07-23,2.7966101694915255,7
software,netscape,200,54,USA,Mountain View,0,0,2,116,0,1998-11-28,3.7037037037037037,8
hardware,navigon,500,100,DEU,Hamburg,0,0,1,3,0,2011-06-14,5,7
mobile,snaptu,244,64,GBR,London,0,0,3,6,6000000,2011-09-17,3.8125,6
biotech,vicept therapeutics,185,112,USA,Malvern,0,0,0,7,16000000,2011-07-19,1.6517857142857142,19
security,network intelligence,0,0,USA,Westwood,0,0,1,5,12000000,2006-09-18,NaN,20
software,cloakware,0,0,USA,Vienna,0,0,1,5,10000000,2007-12-07,NaN,9
semiconductor,teridian semiconductor,160,56,USA,Irvine,0,0,1,1,0,2010-04-12,2.857142857142857,22
enterprise,vignette,195,71,USA,Austin,0,0,1,39,0,2009-05-06,2.7464788732394365,8
biotech,medicago,251,84,CAN,"Qu̩bec, Quebec",0,0,0,2,10000000,2013-09-18,2.988095238095238,8
NA,stonewood group,263,77,GBR,Dorset,0,0,0,0,0,2010-06-05,3.4155844155844157,15
NA,fortify infrastructure services,258,84,USA,Santa Clara,0,0,0,0,0,2010-04-09,3.0714285714285716,31
software,nexius,214,69,USA,Reston,0,0,0,2,0,2010-07-01,3.101449275362319,6
NA,datapresse,0,0,NA,NA,0,0,0,0,0,2010-04-20,NaN,10
NA,fujian tiandi,0,0,NA,NA,0,0,0,0,0,2010-05-07,NaN,13
automotive,zhijiang jonway automobile,0,0,CHN,Zhejiang,0,0,0,0,29030000,2010-07-02,NaN,26
software,routing international,169,57,BEL,Brussels,0,0,0,0,0,2010-06-16,2.9649122807017543,21
NA,beijing itlamp technology,0,0,NA,NA,0,0,0,0,0,2010-05-17,NaN,25
software,language weaver,131,66,USA,Los Angeles,0,0,1,4,0,2010-07-15,1.9848484848484849,15
finance,clairmail,402,168,USA,San Rafael,0,0,3,25,34100000,2012-03-26,2.392857142857143,9
web,netratings,180,70,USA,NA,0,0,0,2,0,2007-02-01,2.5714285714285716,10
software,scientific games racing,0,0,USA,Alpharetta,0,0,0,0,0,2010-01-27,NaN,23
web,inside network,261,34,NA,NA,0,0,2,2,0,2011-05-11,7.676470588235294,14
web,pluck,228,64,USA,Austin,0,0,4,7,17000000,2008-03-04,3.5625,5
health,mapmyfitness,348,103,USA,Austin,0,0,3,13,23500000,2013-11-14,3.378640776699029,12
NA,iontas,0,0,NA,NA,0,0,0,0,0,2010-02-04,NaN,6
web,nameintelligence,230,43,USA,Bellevue,0,0,1,3,0,2008-04-22,5.348837209302325,16
web,friendster,178,56,MYS,Kuala Lumpur,0,0,3,24,48500000,2009-12-10,3.1785714285714284,10
software,3par,165,88,USA,Fremont,0,0,2,9,0,2010-09-02,1.875,4
web,musician ads,123,97,USA,Cockeysville,0,0,1,1,0,1999-12-31,1.268041237113402,12
NA,industrybrains,358,61,USA,New York,0,0,1,7,0,2005-07-28,5.868852459016393,14
network_hosting,xircom,0,0,USA,Thousand Oaks,0,0,1,2,0,2001-01-15,NaN,6
web,cue,96,43,USA,San Francisco,0,0,2,6,4715000,2013-10-04,2.2325581395348837,3
enterprise,podio,140,61,DNK,Copenhagen,0,0,3,9,4600000,2012-04-20,2.2950819672131146,5
biotech,inspire pharmaceuticals,220,59,USA,Durham,0,0,1,8,0,2011-04-05,3.7288135593220337,23
